baseline_validation_failure_count,certified_beta_l2,certified_beta_l2_max,component_mean_base_search_ns,component_mean_candidate_delta_distance_ns,component_mean_candidate_raw_distance_ns,component_mean_delta_index_search_ns,component_mean_exact_boundary_rerank_ns,component_mean_exact_truth_generation_ns,component_mean_final_interval_recompute_ns,component_mean_full_index_search_ns,component_mean_group_ordering_ns,component_mean_group_scan_ns,component_mean_lb_calculation_ns,component_mean_merge_ns,component_mean_receipt_ns,component_mean_visibility_ns,contract_violation_count,dataset_hash,delta_exact_neighbor_capture_rate,delta_exact_neighbor_capture_rate_macro,delta_exact_neighbor_count_total,delta_exact_neighbors_captured_total,delta_influence_end_to_end_p50_ms,delta_influence_mean_exact_recall,delta_influence_query_fraction,end_to_end_actual_batch_qps,end_to_end_p50_ms,end_to_end_p95_ms,end_to_end_p99_ms,end_to_end_pooled_request_p99_ms,end_to_end_single_query_capacity_estimate_qps,experiment_id,fallback_count,fallback_rate,fallback_reason_counts,fallback_reason_request_counts,fallback_request_count,fallback_request_rate,group_skip_rate,groups_scanned_total,groups_skipped_total,k,mean_distance_evaluations,mean_exact_boundary_rechecks,mean_exact_id_symmetric_difference,mean_exact_rank_position_difference,mean_exact_recall_at_k,mean_groups_scanned,mean_groups_skipped,mean_raw_pending_scanned,mean_same_c_reference_recall_at_k,mean_vectors_scanned_or_read,mean_visibility_rejections,method,method_kind,micro_actual_batch_qps,micro_p50_ms,micro_p95_ms,micro_p99_ms,micro_pooled_request_p99_ms,micro_single_query_capacity_estimate_qps,min_exact_recall_at_k,min_skipped_lb_l2,non_delta_end_to_end_p50_ms,observed_beta_upper_l2,observed_beta_upper_l2_max,p99_sample_warning,paired_speedup_vs_delta_flat,performance_eligible,query_rows,repetitions_observed,requested_beta_l2,requested_beta_l2_max,requested_beta_l2_min,run_complete,run_id,split_id,tau_returned_l2,truth_cache_hit_count,truth_generation_wall_ms,unique_test_queries
0,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,59877.125,173149.25,,,,,,,0.0,0.0,0.0,1150112.0,211259.875,1315.625,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.989051,1.0,0.5,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,2.06069044,,synthetic-clustered,0,0.0,{},{},0,0.0,0.0,32.0,0.0,5,40.0,5.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,24.0,0.0,certified_full_delta_reference,certified_full,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,1.68327797,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.9773395,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 0, 'median': None, 'bootstrap_95pct_lower': None, 'bootstrap_95pct_upper': None, 'bootstrap_resamples': 0, 'seed': None, 'reason': 'truth_generation_is_not_a_performance_method'}",False,8,1,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,0.0,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 8, 'min': 1.961296, 'p50': 1.9866035, 'p95': 2.0504682, 'p99': 2.06069044, 'max': 2.063246, 'mean': 1.995648375}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,22646.25,,,,,,,,1310739.5,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.6864465,1.0,0.5,"{'count': 1, 'min': 611.6476365247221, 'p50': 611.6476365247221, 'p95': 611.6476365247221, 'p99': 611.6476365247221, 'max': 611.6476365247221, 'mean': 611.6476365247221}",1.6799085,1.798216,1.824312,1.824312,587.3085988806339,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,24.0,,delta_flat_full_scan,delta_flat,"{'count': 1, 'min': 733.5998256966814, 'p50': 733.5998256966814, 'p95': 733.5998256966814, 'p99': 733.5998256966814, 'max': 733.5998256966814, 'mean': 733.5998256966814}",1.363167,1.4214385999999999,1.4363301199999998,1.4363301199999998,729.9539143596169,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.677016,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 1.0, 'bootstrap_95pct_lower': 1.0, 'bootstrap_95pct_upper': 1.0, 'bootstrap_resamples': 2000, 'seed': 14472242407302666132, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,0.0,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,23908.5,,,,,,,,1303780.375,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.6781565,1.0,0.5,"{'count': 1, 'min': 609.768553199105, 'p50': 609.768553199105, 'p95': 609.768553199105, 'p99': 609.768553199105, 'max': 609.768553199105, 'mean': 609.768553199105}",1.68107,1.7396163500000001,1.74438727,1.74438727,589.2101770149404,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,,,delta_hnsw_ef24,delta_hnsw,"{'count': 1, 'min': 732.04888036784, 'p50': 732.04888036784, 'p95': 732.04888036784, 'p99': 732.04888036784, 'max': 732.04888036784, 'mean': 732.04888036784}",1.362022,1.38412125,1.3912794499999999,1.3912794499999999,732.8936887318054,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.6953315,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 0.9942174203639855, 'bootstrap_95pct_lower': 0.9893284174472698, 'bootstrap_95pct_upper': 1.0140476611967335, 'bootstrap_resamples': 2000, 'seed': 3134558408804197230, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,22000.0,,,,,,,,1319327.125,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.7154305,1.0,0.5,"{'count': 1, 'min': 606.7176076882042, 'p50': 606.7176076882042, 'p95': 606.7176076882042, 'p99': 606.7176076882042, 'max': 606.7176076882042, 'mean': 606.7176076882042}",1.6938705,1.7638287,1.7705593400000001,1.7705593400000001,584.8073341272581,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,,,delta_hnsw_ef8,delta_hnsw,"{'count': 1, 'min': 738.0693397692979, 'p50': 738.0693397692979, 'p95': 738.0693397692979, 'p99': 738.0693397692979, 'max': 738.0693397692979, 'mean': 738.0693397692979}",1.3713815,1.4176613500000002,1.42508667,1.42508667,726.0940785575706,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.6938705,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 0.9855204580677046, 'bootstrap_95pct_lower': 0.9804733213635609, 'bootstrap_95pct_upper': 1.0165932085501423, 'bootstrap_resamples': 2000, 'seed': 8018666821459727143, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,,1257265.625,,,,,,,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.2909985,1.0,0.5,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,1.31151955,,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,120.0,,full_base_delta_exact_flat,full_exact_truth,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.2989615,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,fewer_than_1000_unique_test_queries,"{'paired_queries': 0, 'median': None, 'bootstrap_95pct_lower': None, 'bootstrap_95pct_upper': None, 'bootstrap_resamples': 0, 'seed': None, 'reason': 'truth_generation_is_not_a_performance_method'}",False,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 8, 'min': 1.273681, 'p50': 1.294835, 'p95': 1.30862575, 'p99': 1.31151955, 'max': 1.312243, 'mean': 1.2925793749999999}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,1256548.125,,,16975.25,,,,,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.297277,1.0,0.5,"{'count': 1, 'min': 770.6205537602237, 'p50': 770.6205537602237, 'p95': 770.6205537602237, 'p99': 770.6205537602237, 'max': 770.6205537602237, 'mean': 770.6205537602237}",1.3063005,1.36146225,1.37880125,1.37880125,760.8492104334872,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,120.0,,full_base_delta_flat_scan_performance,full_flat_performance,"{'count': 1, 'min': 770.6205537602237, 'p50': 770.6205537602237, 'p95': 770.6205537602237, 'p99': 770.6205537602237, 'max': 770.6205537602237, 'mean': 770.6205537602237}",,,,,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.3155155,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 1.286965189106065, 'bootstrap_95pct_lower': 1.26280786849087, 'bootstrap_95pct_upper': 1.310532652679209, 'bootstrap_resamples': 2000, 'seed': 10925286530212625967, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,,,,19512.25,,,,,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,0.068545,1.0,0.5,"{'count': 1, 'min': 14518.687365475287, 'p50': 14518.687365475287, 'p95': 14518.687365475287, 'p99': 14518.687365475287, 'max': 14518.687365475287, 'mean': 14518.687365475287}",0.071146,0.07445805,0.07454121000000001,0.07454121000000001,14747.196189324504,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,,,full_base_delta_hnsw_ef24,full_hnsw,"{'count': 1, 'min': 14518.687365475287, 'p50': 14518.687365475287, 'p95': 14518.687365475287, 'p99': 14518.687365475287, 'max': 14518.687365475287, 'mean': 14518.687365475287}",,,,,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",0.0725915,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 24.969447044199676, 'bootstrap_95pct_lower': 22.716146829081772, 'bootstrap_95pct_upper': 27.64030274168738, 'bootstrap_resamples': 2000, 'seed': 6092173034079619626, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.9174863117750065, 'p50': 3.1122447943562213, 'p95': 3.413959315581199, 'p99': 3.463295844875325, 'max': 3.475629977198856, 'mean': 3.1354204433766832}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,,,,17338.875,,,,,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,0.068854,1.0,0.5,"{'count': 1, 'min': 14365.906829911255, 'p50': 14365.906829911255, 'p95': 14365.906829911255, 'p99': 14365.906829911255, 'max': 14365.906829911255, 'mean': 14365.906829911255}",0.067166,0.0737197,0.07426794,0.07426794,14740.212959226728,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,,,full_base_delta_hnsw_ef8,full_hnsw,"{'count': 1, 'min': 14365.906829911255, 'p50': 14365.906829911255, 'p95': 14365.906829911255, 'p99': 14365.906829911255, 'max': 14365.906829911255, 'mean': 14365.906829911255}",,,,,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",0.065647,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 25.35098771908124, 'bootstrap_95pct_lower': 23.984926912087456, 'bootstrap_95pct_upper': 26.50235951477954, 'bootstrap_resamples': 2000, 'seed': 12931765896280944237, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.9174863117750065, 'p50': 3.1122447943562213, 'p95': 3.413959315581199, 'p99': 3.463295844875325, 'max': 3.475629977198856, 'mean': 3.1354204433766832}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,59877.125,,141093.5,,,,0.0,,12112.625,148409.5,372028.25,1182301.375,226283.5,10965.75,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,2.6293065,1.0,0.5,"{'count': 1, 'min': 354.53638163714265, 'p50': 354.53638163714265, 'p95': 354.53638163714265, 'p99': 354.53638163714265, 'max': 354.53638163714265, 'mean': 354.53638163714265}",2.659019,2.8240962,2.84048404,2.84048404,372.12146025856765,synthetic-clustered,0,0.0,{},{},0,0.0,0.5625,14.0,18.0,5,40.25,5.0,0.0,0.0,1.0,1.75,2.25,2.0,1.0,20.25,0.0,group_pruning_beta0,pruned,"{'count': 1, 'min': 394.39668793549407, 'p50': 394.39668793549407, 'p95': 394.39668793549407, 'p99': 394.39668793549407, 'max': 394.39668793549407, 'mean': 394.39668793549407}",2.329846,2.5075028500000003,2.52563257,2.52563257,424.70748537387055,1.0,"{'count': 8, 'min': 38.42637521334928, 'p50': 44.96463476936279, 'p95': 48.52567587665797, 'p99': 49.58232845201284, 'max': 49.84649159585156, 'mean': 44.34475206156701}",2.694963,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 0.635545613700621, 'bootstrap_95pct_lower': 0.5980792953338295, 'bootstrap_95pct_upper': 0.6561573899252322, 'bootstrap_resamples': 2000, 'seed': 8449310371547694787, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,0.0,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,59877.125,,140062.625,,,,96723.75,,12106.875,148982.75,372993.375,1169341.375,218166.625,10981.25,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,2.7200525,1.0,0.5,"{'count': 1, 'min': 340.90764786251333, 'p50': 340.90764786251333, 'p95': 340.90764786251333, 'p99': 340.90764786251333, 'max': 340.90764786251333, 'mean': 340.90764786251333}",2.7455795,2.8823189,2.89102298,2.89102298,361.79292998727936,synthetic-clustered,0,0.0,{},{},0,0.0,0.5625,14.0,18.0,5,76.5,5.0,0.0,0.0,1.0,1.75,2.25,2.0,1.0,20.25,0.0,group_pruning_beta0_recompute_intervals_ablation,pruned_recompute,"{'count': 1, 'min': 380.24588409972364, 'p50': 380.24588409972364, 'p95': 380.24588409972364, 'p99': 380.24588409972364, 'max': 380.24588409972364, 'mean': 380.24588409972364}",2.399719,2.56385925,2.5708214500000004,2.5708214500000004,411.3061267697924,1.0,"{'count': 8, 'min': 38.42637521334928, 'p50': 44.96463476936279, 'p95': 48.52567587665797, 'p99': 49.58232845201284, 'max': 49.84649159585156, 'mean': 44.34475206156701}",2.762617,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 0.6174647319612445, 'bootstrap_95pct_lower': 0.5944157341097294, 'bootstrap_95pct_upper': 0.635598018918306, 'bootstrap_resamples': 2000, 'seed': 7046784404930685658, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,0.0,True,offline-smoke-20260905T121406.178089Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
